fold,train_start,train_end,test_start,test_end,train_n,test_n,thr_train_p90,base_rate,selected_rate,selected_n,auc,p_at_10,lift_p10,ic
59,1998-10-16,2016-07-27,2016-07-28,2017-01-26,129532,4158,0.35736622773148663,0.28619528619528617,0.09331409331409331,388,0.5885284774287073,0.44072164948453607,1.5399332929047909,0.14592626674286446
60,1998-10-16,2016-10-25,2016-10-26,2017-04-27,131611,4158,0.35597693575470196,0.2984607984607985,0.1697931697931698,706,0.5433804226909581,0.3611898016997167,1.210175016492685,0.07858297172920647
61,1998-10-16,2017-01-26,2017-01-27,2017-07-27,133690,4158,0.3551003276800384,0.2881192881192881,0.09644059644059644,401,0.4848586326309615,0.30673316708229426,1.0646047652155088,-0.024545175046266174
62,1998-10-16,2017-04-27,2017-04-28,2017-10-25,135769,4158,0.35449355429648965,0.2893217893217893,0.1721981721981722,716,0.5130227167557699,0.31564245810055863,1.0909736831106591,-0.01910923425012731
63,1998-10-16,2017-07-27,2017-07-28,2018-01-26,137848,4158,0.3531109754403956,0.3114478114478115,0.11351611351611351,472,0.5441004049806005,0.3686440677966102,1.1836463582226293,-0.01175812063589369
64,1998-10-16,2017-10-25,2017-10-26,2018-04-27,139927,4158,0.35254271064929005,0.31721981721981724,0.11303511303511303,470,0.5687081885820297,0.4085106382978723,1.2877841046569773,0.08465357307377354
65,1998-10-16,2018-01-26,2018-01-29,2018-07-27,142006,4158,0.35207883618884595,0.3302068302068302,0.11231361231361231,467,0.5657357004345148,0.3683083511777302,1.1153868348120919,0.024181522563890605
66,1998-10-16,2018-04-27,2018-04-30,2018-10-25,144085,4158,0.35903689983693793,0.3554593554593555,0.12962962962962962,539,0.49311506574031067,0.37662337662337664,1.0595399188092016,-0.07586718922705772
67,1998-10-16,2018-07-27,2018-07-30,2019-01-29,146164,4158,0.37599787264176715,0.36387686387686385,0.12506012506012507,520,0.5088382099935407,0.36346153846153845,0.9988586099954243,-0.03151238821117184
68,1998-10-16,2018-10-25,2018-10-26,2019-04-30,148243,4158,0.3799153731275032,0.3643578643578644,0.1038961038961039,432,0.5353656023945187,0.3263888888888889,0.8957920792079207,0.00045557385679291816
69,1998-10-16,2019-01-29,2019-01-30,2019-07-30,150322,4158,0.3716475422195289,0.3655603655603656,0.10125060125060124,421,0.5139234018993656,0.2517814726840855,0.6887548443555445,-0.03479192389217702
70,1998-10-16,2019-04-30,2019-05-01,2019-10-28,152401,4158,0.35209815972208724,0.33525733525733525,0.12842712842712842,534,0.5263832280997536,0.41385767790262173,1.2344477939161416,0.0572921118838111
71,1998-10-16,2019-07-30,2019-07-31,2020-01-29,154480,4158,0.35233711519830835,0.29773929773929775,0.11159211159211159,464,0.5890503629362428,0.5107758620689655,1.7155137596791266,0.20849910293706458
72,1998-10-16,2019-10-28,2019-10-29,2020-04-29,156559,4158,0.35902664587198374,0.3436748436748437,0.11423761423761424,475,0.5267801118074251,0.48,1.39666899930021,0.29605018105008957
73,1998-10-16,2020-01-29,2020-01-30,2020-07-29,158638,4158,0.3955678640673826,0.36507936507936506,0.09090909090909091,378,0.5412974857268334,0.5714285714285714,1.565217391304348,0.2815838725571957
74,1998-10-16,2020-04-29,2020-04-30,2020-10-27,160717,4158,0.37552982758493086,0.34583934583934584,0.09740259740259741,405,0.5600048320788679,0.6148148148148148,1.7777468706536856,0.20580760649059984
75,1998-10-16,2020-07-29,2020-07-30,2021-01-28,162796,4158,0.36847383817476154,0.3367003367003367,0.09692159692159692,403,0.5733120532476951,0.6104218362282878,1.8129528535980148,0.24095486428538204
76,1998-10-16,2020-10-27,2020-10-28,2021-04-29,164875,4158,0.3894037904517167,0.3621933621933622,0.11495911495911496,478,0.5788143304108853,0.45188284518828453,1.247628731934188,0.1533183112601065
77,1998-10-16,2021-01-28,2021-01-29,2021-07-29,166954,4158,0.40572021592011553,0.39081289081289083,0.10966810966810966,456,0.4839562695496371,0.32456140350877194,0.8304777327935222,-0.02582843133220029
78,1998-10-16,2021-04-29,2021-04-30,2021-10-27,169033,4158,0.3519686455212487,0.3253968253968254,0.10125060125060124,421,0.5231838404917836,0.35629453681710216,1.0949539424135335,0.04332792353319262
79,1998-10-16,2021-07-29,2021-07-30,2022-01-20,171112,4152,0.35218598291537384,0.3364643545279383,0.12235067437379576,508,0.5053230477026868,0.3484251968503937,1.0355486165517787,-0.006284969848020211
80,1998-10-16,2021-10-27,2021-10-28,2022-04-08,173191,4150,0.40467125997288034,0.39710843373493976,0.12891566265060242,535,0.4693244191054923,0.4130841121495327,1.0402300154250976,-0.08512244243924423
81,1998-10-16,2022-01-20,2022-01-21,2022-07-12,175264,4156,0.4436434684262763,0.4126564003849856,0.11742059672762271,488,0.5102449290127474,0.4672131147540984,1.1322085742962291,-0.017309618937159994
82,1998-10-16,2022-04-08,2022-04-11,2022-10-10,177341,4158,0.4113454886476136,0.39105339105339104,0.1091871091871092,454,0.5320621748871518,0.42070484581497797,1.0758245688183754,0.0009443885189763687
83,1998-10-16,2022-07-12,2022-07-13,2022-12-30,179420,4158,0.3999678119973776,0.38263588263588266,0.14285714285714285,594,0.5147605455991864,0.46464646464646464,1.2143306096794468,-0.009233185427609933
84,1998-10-16,2022-10-10,2022-10-11,2023-03-17,181499,4158,0.3746600794287212,0.3511303511303511,0.12145262145262145,505,0.5441784629913584,0.4693069306930693,1.336560423165604,0.09269374628886463
85,1998-10-16,2022-12-30,2022-12-31,2023-06-16,183578,4158,0.3539612373541448,0.3075998075998076,0.1111111111111111,462,0.6042484726013317,0.48917748917748916,1.5903049257232211,0.22203837058629672
86,1998-10-16,2023-03-17,2023-03-20,2023-09-18,185657,4158,0.3534998664772658,0.31962481962481964,0.10173160173160173,423,0.5733303171681242,0.3971631205673759,1.2425916142356275,0.10502959402763896
87,1998-10-16,2023-06-16,2023-06-20,2023-12-09,187736,4108,0.35304086586631783,0.3388510223953262,0.16066212268743915,660,0.5018840565909977,0.2772727272727273,0.8182732497387669,-0.009623300926323897
